simulation,wins,losses,actual_win_rate,final_capital,total_return,max_drawdown,max_losing_streak,profitable
1,420,380,0.525,10424.872237171512,0.04248722371715119,-0.3717580353620892,8,True
2,430,370,0.5375,13284.964036260357,0.3284964036260356,-0.3307420700507907,7,True
3,412,388,0.515,8586.951848933924,-0.14130481510660753,-0.45560302901254646,7,False
4,440,360,0.55,16929.72972996509,0.6929729729965088,-0.2522687160829876,7,True
5,396,404,0.495,5826.068687831513,-0.41739313121684873,-0.5314748222248467,10,False
6,442,358,0.5525,17770.83986320689,0.7770839863206889,-0.20560142053693475,8,True
7,419,381,0.52375,10175.172415418741,0.017517241541874062,-0.28661984902279247,6,True
8,407,393,0.50875,7606.663536564681,-0.23933364634353194,-0.3158756358644975,8,False
9,414,386,0.5175,9013.572493740427,-0.09864275062595729,-0.25319834070811753,7,False
10,417,383,0.52125,9693.572182004315,-0.030642781799568586,-0.26433751795832194,7,False
11,440,360,0.55,16929.729729965136,0.6929729729965137,-0.14069028938458705,7,True
12,436,364,0.545,15365.056735230273,0.5365056735230274,-0.15204176292527016,10,True
13,431,369,0.53875,13610.978477727684,0.36109784777276843,-0.2699229203378649,9,True
14,429,371,0.53625,12966.758395329929,0.2966758395329929,-0.25190511713208075,6,True
15,449,351,0.56125,21057.688776649517,1.1057688776649517,-0.16959622815123687,8,True
16,441,359,0.55125,17345.187112239022,0.7345187112239022,-0.22139611065734421,7,True
17,426,374,0.5325,12057.146180032609,0.20571461800326096,-0.24665061265673627,8,True
18,438,362,0.5475,16128.430109996078,0.6128430109996077,-0.2656092497767987,6,True
19,405,395,0.50625,7246.633181780377,-0.27533668182196236,-0.36777499340992803,9,False
20,428,372,0.535,12656.174516087654,0.2656174516087655,-0.2689147920599856,11,True
21,428,372,0.535,12656.174516087713,0.26561745160877126,-0.30528828143215714,7,True
22,423,377,0.52875,11211.342848728716,0.12113428487287159,-0.28596681325749884,7,True
23,422,378,0.5275,10942.805235293508,0.0942805235293509,-0.3158509611595631,8,True
24,424,376,0.53,11486.470403982292,0.14864704039822918,-0.30278543653647827,7,True
25,398,402,0.4975,6115.521944821443,-0.38844780551785574,-0.45691318147164994,11,False
26,396,404,0.495,5826.06868783152,-0.41739313121684796,-0.4662514464029687,10,False
27,455,345,0.56875,24354.795532974666,1.4354795532974665,-0.1668309528245111,7,True
28,427,373,0.53375,12353.02983969815,0.23530298396981508,-0.2827536075732757,6,True
29,422,378,0.5275,10942.805235293514,0.09428052352935135,-0.3409177400159572,9,True
30,413,387,0.51625,8797.676567743585,-0.12023234322564147,-0.3074999384962822,12,False
31,416,384,0.52,9461.388689398607,-0.05386113106013923,-0.35192177404017067,9,False
32,419,381,0.52375,10175.172415418716,0.01751724154187162,-0.27077331424192796,13,True
33,431,369,0.53875,13610.97847772769,0.3610978477727689,-0.17874769861390127,6,True
34,430,370,0.5375,13284.964036260351,0.32849640362603516,-0.2969187954509991,13,True
35,418,382,0.5225,9931.453482406287,-0.0068546517593713885,-0.3137592178043459,6,False
36,424,376,0.53,11486.470403982275,0.14864704039822763,-0.3733325138886231,14,True
37,416,384,0.52,9461.38868939861,-0.05386113106013912,-0.423904271399859,10,False
38,399,401,0.49875,6265.597508871182,-0.37344024911288176,-0.3785839575819159,13,False
39,401,399,0.50125,6576.887626290959,-0.3423112373709041,-0.5074126363141254,8,False
40,416,384,0.52,9461.388689398596,-0.053861131060140344,-0.3206083703042446,10,False
41,424,376,0.53,11486.470403982263,0.1486470403982263,-0.2937953488796635,6,True
42,437,363,0.54625,15742.116874495821,0.5742116874495822,-0.19490369944434194,6,True
43,424,376,0.53,11486.470403982274,0.1486470403982274,-0.2416683577670239,12,True
44,432,368,0.54,13944.993348534175,0.3944993348534176,-0.18016738863230597,7,True
45,409,391,0.51125,7984.581074695298,-0.20154189253047017,-0.5093632351690673,10,False
46,396,404,0.495,5826.068687831516,-0.4173931312168484,-0.5013141664017347,7,False
47,435,365,0.54375,14997.028059125383,0.49970280591253835,-0.14069028938458694,7,True
48,428,372,0.535,12656.174516087643,0.2656174516087644,-0.23698043676202263,8,True
49,398,402,0.4975,6115.52194482145,-0.38844780551785496,-0.5235023208579626,11,False
50,379,421,0.47375,3858.1864306971815,-0.6141813569302819,-0.6553506797138794,8,False
51,400,400,0.5,6419.355943349342,-0.3580644056650658,-0.4148508613412295,10,False
52,404,396,0.505,7073.059542446323,-0.2926940457553677,-0.5056096537594905,7,False
53,395,405,0.49375,5686.520856474515,-0.4313479143525485,-0.5117323112965677,8,False
54,437,363,0.54625,15742.116874495816,0.5742116874495815,-0.14449089869108156,6,True
55,438,362,0.5475,16128.430109996109,0.6128430109996108,-0.19785683034147217,9,True
56,397,403,0.49625,5969.041037928163,-0.40309589620718367,-0.5059453927747476,7,False
57,449,351,0.56125,21057.688776649553,1.1057688776649552,-0.2011875671742317,6,True
58,408,392,0.51,7793.331875111532,-0.2206668124888468,-0.32861890494503987,7,False
59,390,410,0.4875,5037.346384355162,-0.49626536156448386,-0.520042378274377,9,False
60,429,371,0.53625,12966.758395329956,0.2966758395329956,-0.2129956095067015,8,True
61,412,388,0.515,8586.951848933919,-0.14130481510660808,-0.40024683119799853,7,False
62,422,378,0.5275,10942.805235293492,0.09428052352934913,-0.3144261273035397,6,True
63,420,380,0.525,10424.872237171516,0.042487223717151634,-0.2523703000995643,11,True
64,415,385,0.51875,9234.766528903145,-0.07652334710968556,-0.33849129513762355,6,False
65,404,396,0.505,7073.059542446306,-0.2926940457553694,-0.5294033909916812,10,False
66,401,399,0.50125,6576.887626290963,-0.34231123737090363,-0.49002888299682257,8,False
67,412,388,0.515,8586.951848933919,-0.14130481510660808,-0.3066379089305098,8,False
68,389,411,0.48625,4916.690277914296,-0.5083309722085705,-0.5835230858678514,10,False
69,407,393,0.50875,7606.66353656467,-0.23933364634353305,-0.44227543355977317,7,False
70,416,384,0.52,9461.388689398633,-0.05386113106013668,-0.31994747473986784,6,False
71,431,369,0.53875,13610.978477727684,0.36109784777276843,-0.29765724548771466,14,True
72,420,380,0.525,10424.8722371715,0.04248722371714986,-0.31933940747626643,8,True
73,404,396,0.505,7073.059542446323,-0.2926940457553677,-0.44362947997962066,10,False
74,425,375,0.53125,11768.349618932656,0.17683496189326564,-0.2076831369554294,5,True
75,400,400,0.5,6419.3559433493265,-0.35806440566506736,-0.5774224058902337,13,False
76,434,366,0.5425,14637.814521732278,0.46378145217322775,-0.247162209987415,10,True
77,406,394,0.5075,7424.466336829089,-0.257553366317091,-0.48736407767807566,11,False
78,424,376,0.53,11486.470403982239,0.14864704039822385,-0.3441377568322618,7,True
79,408,392,0.51,7793.331875111521,-0.2206668124888479,-0.29730078968307594,8,False
80,402,398,0.5025,6738.285153617819,-0.3261714846382181,-0.4888973619420156,9,False
81,445,355,0.55625,19111.503132466623,0.9111503132466623,-0.20785300753543856,6,True
82,418,382,0.5225,9931.453482406298,-0.006854651759370278,-0.337023543332602,9,False
83,422,378,0.5275,10942.805235293503,0.09428052352935024,-0.3794184757527548,9,True
84,414,386,0.5175,9013.572493740408,-0.09864275062595917,-0.3939406910329134,7,False
85,409,391,0.51125,7984.58107469529,-0.20154189253047095,-0.30312430596285433,7,False
86,406,394,0.5075,7424.466336829099,-0.25755336631709,-0.4811991573143589,10,False
87,422,378,0.5275,10942.805235293514,0.09428052352935135,-0.29579696526198396,8,True
88,444,356,0.555,18653.73839280974,0.865373839280974,-0.2575849105711835,7,True
